season,day_count,t2m_c_mean,sp_hpa_mean,tp_mm_total_mean
Monsoon sampled days,160,27.547313690185547,939.7770385742188,2.142542839050293
Other sampled days,316,21.695575714111328,947.8512573242188,0.1928119659423828
