name,scheduler,chunks,elapsed_seconds,rows_daily,annual_mean_t2m_c,anti_patterns,good_practices
poor,threads,"{'valid_time': 24, 'latitude': 30, 'longitude': 30}",62.565,366,22.49,"['tiny chunks', 'storage-chunk misalignment']",
revised,threads,"{'valid_time': 96, 'latitude': 80, 'longitude': 80}",35.186,366,22.49,,"['single lazy graph', 'single compute phase', 'chunking chosen for time aggregation']"
