time,t2m_c_anom,tcc_anom,ssr_anom,str_nlw_anom,tisr_anom,tsr_anom,ttr_anom,number_anom,t2m_c_max_anom,t2m_c_min_anom,net_rad_anom,reflected_solar_anom
2024-01-16,0.1142,0.0488,0.6215,-0.1372,-0.1952,0.4074,-1.1184,0.0,-0.0205,0.1399,0.4843,-0.6026
2024-01-17,-0.1364,0.0497,-0.152,0.3745,0.0124,-0.1275,-1.0645,0.0,-0.3173,0.1814,0.2225,0.14
2024-01-18,-0.3056,-0.0161,-0.1339,0.2585,0.2248,-0.0069,-1.2181,0.0,-0.3372,-0.0822,0.1246,0.2317
2024-01-19,-0.3708,-0.0764,0.3733,-0.0656,0.4418,0.4341,-1.3761,0.0,-0.3166,-0.4139,0.3077,0.0077
2024-01-20,-0.2753,-0.0567,1.0264,-0.1965,0.6632,1.1276,-1.4482,0.0,-0.2261,-0.5406,0.8298,-0.4644
2024-01-21,-0.3463,-0.0076,1.5874,-0.7694,0.8889,1.6682,-1.7077,0.0,-0.2779,-0.208,0.818,-0.7792
2024-01-22,-0.3306,-0.0773,2.3469,-1.1581,1.1187,2.2887,-1.8612,0.0,-0.1309,-0.7289,1.1889,-1.17
2024-01-23,-0.2828,-0.0666,1.7112,-0.7032,1.3523,1.7613,-1.6152,0.0,-0.2796,-0.3862,1.008,-0.409
2024-01-24,-0.3777,0.0038,0.7512,-0.2038,1.5897,0.9349,-0.6667,0.0,-0.4532,-0.3078,0.5474,0.6548
2024-01-25,-0.461,0.0436,0.0058,0.2334,1.8306,0.3527,0.4354,0.0,-0.53,-0.2107,0.2392,1.4779
2024-01-26,-0.2573,0.0729,0.6519,0.235,2.0748,1.176,0.4884,0.0,-0.2428,-0.3286,0.8869,0.8988
2024-01-27,0.0065,0.1163,1.532,-0.2936,2.3221,2.0306,0.1523,0.0,0.1542,-0.0512,1.2384,0.2915
2024-01-28,0.2234,0.1276,1.2483,-0.205,2.5724,1.7945,0.5742,0.0,0.3477,-0.136,1.0433,0.7778
2024-01-29,0.5496,0.1288,1.8533,-0.0738,2.8254,2.5822,0.186,0.0,0.6964,0.2675,1.7795,0.2431
2024-01-30,0.7786,0.0696,2.078,0.2477,3.0809,2.9325,0.7364,0.0,0.7107,0.61,2.3257,0.1484
2024-01-31,0.957,0.0435,1.6651,0.6674,3.3388,2.725,0.639,0.0,0.769,1.0644,2.3325,0.6138
2024-02-01,-0.7001,0.0694,-3.0806,1.2921,-3.7355,-3.5349,0.8147,0.0,-1.0163,-0.1628,-1.7886,-0.2006
2024-02-02,-0.8576,0.0942,-2.9333,1.1877,-3.4735,-3.4006,0.4021,0.0,-1.2595,-0.354,-1.7456,-0.0729
2024-02-03,-0.8534,0.0189,-2.6598,1.0495,-3.2097,-3.1213,0.0578,0.0,-1.1989,-0.4513,-1.6103,-0.0885
2024-02-04,-0.7481,-0.0345,-2.3507,1.0976,-2.9444,-2.7437,0.0163,0.0,-1.0472,-0.4119,-1.2531,-0.2007
2024-02-05,-0.7597,0.0079,-1.6919,0.6471,-2.6778,-2.105,-0.433,0.0,-1.075,-0.3318,-1.0448,-0.5727
2024-02-06,-0.9258,-0.0316,-1.5791,0.3104,-2.4099,-2.1039,-0.3325,0.0,-1.0959,-0.5739,-1.2687,-0.306
2024-02-07,-0.8348,-0.0578,-0.9531,-0.1743,-2.1411,-1.5725,-0.4267,0.0,-0.8929,-0.7466,-1.1274,-0.5687
2024-02-08,-1.1448,0.0358,-0.1751,-0.932,-1.8715,-1.0144,-0.226,0.0,-1.026,-1.0219,-1.107,-0.8571
2024-02-09,-1.3355,-0.1535,0.4558,-1.5823,-1.6013,-0.5028,-0.5407,0.0,-0.9188,-1.7644,-1.1265,-1.0985
2024-02-10,-1.0479,-0.1955,0.5417,-1.3279,-1.3308,-0.2866,-0.7992,0.0,-0.5531,-1.7106,-0.7862,-1.0441
2024-02-11,-0.7403,-0.0742,0.1717,-0.9132,-1.06,-0.4042,-0.4147,0.0,-0.368,-1.2711,-0.7416,-0.6558
2024-02-12,-0.3494,0.1437,-0.2558,-0.4422,-0.7891,-0.6748,1.2338,0.0,-0.0659,-0.7971,-0.698,-0.1144
2024-02-13,-0.0106,0.1413,-0.0709,-0.1,-0.5185,-0.257,1.4703,0.0,0.1429,-0.2563,-0.1709,-0.2614
2024-02-14,0.1244,0.0837,0.2437,-0.1851,-0.2481,0.1906,0.6981,0.0,0.3178,0.0786,0.0586,-0.4387
2024-02-15,0.238,-0.0379,0.7353,-0.6424,0.0218,0.6299,-0.3545,0.0,0.6622,-0.0204,0.0929,-0.6082
2024-02-16,0.6047,-0.1455,1.5357,-0.8537,0.291,1.4074,-1.0699,0.0,1.0841,-0.0885,0.682,-1.1164
2024-02-17,1.1547,-0.0168,1.3512,-0.588,0.5593,1.3619,-0.43,0.0,1.5167,0.5276,0.7632,-0.8026
2024-02-18,1.3024,0.0638,0.8141,-0.1248,0.8267,1.0308,0.2124,0.0,1.3142,0.9792,0.6893,-0.2041
2024-02-19,1.461,0.0869,0.3406,0.1474,1.0929,0.7681,0.0264,0.0,1.2952,1.6016,0.488,0.3248
2024-02-20,1.1375,-0.0092,0.9173,-0.0094,1.3579,1.3993,-0.5834,0.0,0.9005,1.4405,0.9079,-0.0414
2024-02-21,0.6499,0.0166,0.8223,-0.0362,1.6213,1.3245,-0.3489,0.0,0.2731,1.1484,0.7862,0.2968
2024-02-22,0.2091,0.0191,0.8687,-0.1921,1.8832,1.2747,-0.4029,0.0,-0.0434,0.6764,0.6766,0.6085
2024-02-23,-0.1696,-0.0799,1.28,-0.6506,2.1435,1.4882,-0.9094,0.0,-0.2062,0.132,0.6294,0.6552
2024-02-24,-0.14,-0.0517,1.163,-0.3604,2.4018,1.4872,-0.5553,0.0,-0.1659,-0.2718,0.8026,0.9146
2024-02-25,-0.0864,0.0058,-0.0203,0.4159,2.6582,0.6949,0.8022,0.0,-0.232,-0.0443,0.3957,1.9634
2024-02-26,0.4518,0.0674,0.1672,1.0178,2.9125,1.0431,1.7062,0.0,0.3202,0.3248,1.185,1.8694
2024-02-27,1.0267,0.018,0.8421,1.1527,3.1647,2.0463,0.7302,0.0,0.8886,1.2299,1.9949,1.1184
2024-02-28,1.0859,-0.0408,1.6992,0.5107,3.4145,2.8203,-0.4415,0.0,1.1189,1.1798,2.2099,0.5942
2024-02-29,1.2578,0.0562,1.821,0.2857,3.662,2.7546,0.0981,0.0,1.3308,0.9601,2.1067,0.9074
2024-03-01,-1.1183,0.1057,-3.0957,0.9396,-3.2114,-3.7303,1.2077,0.0,-1.1744,-1.0104,-2.1561,0.5189
